,state,week_of_year,pop_count_2019,percent_age65over,percent_female,percent_white,percent_black,cases_cum,cases_cum_rate_100K,cases_count_pos,cases_rate_100K
1307,New Hampshire,6,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,0,0.0,0.0,0.0
1308,New Hampshire,7,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,0,0.0,0.0,0.0
1309,New Hampshire,8,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,0,0.0,0.0,0.0
1310,New Hampshire,9,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,0,0.0,0.0,0.0
1311,New Hampshire,10,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,17,1.2502656814573099,4.0,0.2941801603428964
1312,New Hampshire,11,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,47,3.4566168840290326,9.0,0.6619053607715168
1313,New Hampshire,12,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,324,23.828592987774613,65.0,4.780427605572067
1314,New Hampshire,13,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,1163,85.53288161969714,180.0,13.23810721543034
1315,New Hampshire,14,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,3405,250.42086149189055,411.0,30.227011475232608
1316,New Hampshire,15,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,5868,431.56229522302897,316.0,23.24023266708882
1317,New Hampshire,16,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,8482,623.8090300071118,407.0,29.932831314889714
1318,New Hampshire,17,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,11573,851.1367489120852,472.0,34.713258920461776
1319,New Hampshire,18,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,15405,1132.9613425205798,654.0,48.09845621606356
1320,New Hampshire,19,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,19837,1458.9129601805091,553.0,40.67040716740543
1321,New Hampshire,20,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,23696,1742.7232698713185,525.0,38.61114604500515
1322,New Hampshire,21,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,27428,2017.1933594712405,553.0,40.670407167405436
1323,New Hampshire,22,1359711,18.670438056322265,50.4458668055197,93.115154617415,1.792366171929182,30791,2264.5253292795305,502.0,36.91961012303349
